kind,name,molecular_formula,SMILES,pubchem_cid,InChI,InChIKey,total_exact_mass,exact_mass,instrument,instrument_type,ms_level,ionization,ionization_mode,spectrum,score
biological,"2,3,5-Trimethyl-1H-indole, TMS derivative",C14H21NSi,C1=CC2=C(C=C1C)C(=C(N2[Si](C)(C)C)C)C,,"InChI=1S/C14H21NSi/c1-10-7-8-14-13(9-10)11(2)12(3)15(14)16(4,5)6/h7-9H,1-6H3",KHKJMJPOXGEQGW-UHFFFAOYSA-N,231.14432620199997,,,,MS1,,positive,"[(15.0, 0.4), (27.0, 5.7), (28.0, 6.8), (29.0, 2.8), (30.0, 0.3), (31.0, 0.9), (38.0, 0.5), (39.0, 2.7), (40.0, 2.9), (41.0, 6.7), (42.0, 0.6), (43.0, 42.7), (44.0, 4.4), (45.0, 3.7), (46.0, 0.3), (47.0, 0.1), (51.0, 1.4), (52.0, 5.6), (53.0, 13.0), (54.0, 2.8), (55.0, 2.0), (56.0, 2.9), (57.0, 21.7), (58.0, 49.0), (59.0, 9.6), (60.0, 2.1), (61.0, 0.2), (62.0, 0.3), (63.0, 3.1), (64.0, 2.7), (65.0, 4.6), (66.0, 2.3), (67.0, 2.3), (68.0, 0.9), (69.0, 3.2), (70.0, 3.4), (71.0, 1.9), (72.0, 6.3), (73.0, 29.0), (74.0, 2.9), (75.0, 3.1), (76.0, 3.3), (77.0, 9.3), (78.0, 3.8), (79.0, 4.3), (80.0, 1.1), (81.0, 0.8), (82.0, 0.7), (83.0, 1.3), (84.0, 0.8), (85.0, 0.4), (87.0, 0.6), (88.0, 3.1), (89.0, 3.3), (90.0, 5.6), (91.0, 3.5), (92.0, 2.2), (93.0, 2.3), (94.0, 0.9), (95.0, 1.0), (96.0, 0.6), (99.0, 0.7), (100.0, 0.9), (101.0, 3.5), (102.0, 2.2), (103.0, 2.8), (104.0, 4.9), (105.0, 4.4), (106.0, 1.7), (107.0, 1.6), (108.0, 1.5), (109.0, 0.4), (112.0, 0.2), (113.0, 0.6), (114.0, 1.9), (115.0, 2.3), (116.0, 3.3), (117.0, 9.7), (118.0, 2.5), (119.0, 2.8), (120.0, 0.9), (121.0, 0.2), (123.0, 0.3), (126.0, 0.5), (127.0, 2.0), (128.0, 1.4), (129.0, 0.9), (130.0, 3.6), (131.0, 3.4), (132.0, 2.3), (133.0, 0.9), (134.0, 1.4), (135.0, 0.2), (137.0, 0.6), (138.0, 0.7), (141.0, 1.9), (142.0, 6.1), (143.0, 7.7), (144.0, 4.6), (145.0, 1.1), (146.0, 0.2), (147.0, 1.9), (148.0, 0.9), (149.0, 0.1), (155.0, 1.5), (156.0, 6.7), (157.0, 10.3), (158.0, 34.1), (159.0, 10.4), (160.0, 2.3), (161.0, 0.9), (162.0, 1.4), (163.0, 0.2), (170.0, 1.9), (171.0, 3.4), (172.0, 1.8), (173.0, 2.3), (174.0, 0.3), (175.0, 1.3), (176.0, 0.2), (184.0, 0.6), (185.0, 5.1), (186.0, 12.3), (187.0, 4.0), (188.0, 0.8), (189.0, 0.1), (198.0, 1.8), (199.0, 5.9), (200.0, 9.2), (201.0, 14.2), (202.0, 3.3), (203.0, 1.3), (204.0, 0.2), (212.0, 0.6), (213.0, 0.7), (214.0, 2.6), (215.0, 6.0), (216.0, 25.8), (217.0, 5.2), (218.0, 1.2), (219.0, 0.1), (229.0, 0.6), (230.0, 2.5), (231.0, 100.0), (232.0, 20.9), (233.0, 5.2), (234.0, 0.7)]",3.5714285714285716
biological,"Ethyl 3-hydroxy-3-methylpentanoate, TMS derivative",C11H24O3Si,O=C(OCC)CC(O[Si](C)(C)C)(C)CC,,"InChI=1S/C11H24O3Si/c1-7-11(3,14-15(4,5)6)9-10(12)13-8-2/h7-9H2,1-6H3",FGZVHXCJVPTHKF-UHFFFAOYSA-N,232.14947115799998,,,,MS1,,positive,"[(15.0, 5.4), (16.0, 0.2), (27.0, 9.7), (28.0, 4.3), (29.0, 100.0), (30.0, 2.4), (39.0, 2.1), (40.0, 2.2), (41.0, 11.4), (42.0, 1.7), (43.0, 5.9), (44.0, 5.2), (45.0, 0.9), (46.0, 0.3), (52.0, 0.1), (53.0, 1.5), (54.0, 5.4), (55.0, 9.8), (56.0, 4.8), (57.0, 6.4), (58.0, 20.8), (59.0, 1.5), (60.0, 3.6), (61.0, 0.6), (66.0, 0.1), (67.0, 0.7), (68.0, 0.4), (69.0, 3.7), (70.0, 9.4), (71.0, 1.4), (72.0, 1.6), (73.0, 7.0), (74.0, 11.0), (75.0, 1.3), (76.0, 0.5), (81.0, 0.3), (82.0, 0.7), (84.0, 0.3), (85.0, 4.8), (86.0, 0.7), (87.0, 1.2), (88.0, 0.6), (89.0, 1.5), (90.0, 0.2), (95.0, 0.7), (97.0, 1.0), (98.0, 1.0), (99.0, 4.5), (100.0, 3.3), (101.0, 1.5), (102.0, 2.1), (103.0, 1.3), (104.0, 0.1), (111.0, 0.5), (113.0, 0.9), (114.0, 3.2), (115.0, 6.4), (116.0, 2.7), (117.0, 1.0), (118.0, 0.3), (125.0, 0.3), (126.0, 0.8), (127.0, 0.6), (128.0, 1.8), (129.0, 3.9), (130.0, 3.6), (131.0, 5.7), (132.0, 0.7), (133.0, 0.2), (142.0, 0.7), (143.0, 2.5), (144.0, 1.2), (145.0, 2.4), (146.0, 0.3), (147.0, 0.1), (159.0, 0.9), (160.0, 0.1), (172.0, 0.1), (173.0, 0.7), (174.0, 0.5), (175.0, 2.3), (176.0, 0.3), (177.0, 0.1), (186.0, 0.3), (187.0, 1.0), (188.0, 1.3), (189.0, 0.2), (202.0, 0.3), (203.0, 0.6), (204.0, 0.1), (216.0, 1.5), (217.0, 17.5), (218.0, 2.9), (219.0, 0.9), (232.0, 25.2), (233.0, 4.4), (234.0, 1.3), (235.0, 0.1)]",3.5714285714285716
biological,"L-Valine, TMS derivative",C8H19NO2Si,O=C(O[Si](C)(C)C)C(N)C(C)C,,"InChI=1S/C8H19NO2Si/c1-6(2)7(9)8(10)11-12(3,4)5/h6-7H,9H2,1-5H3/t7-/m0/s1",IJGIMCZHMYSSHY-ZETCQYMHSA-N,189.118505378,,,,MS1,,positive,"[(15.0, 4.9), (28.0, 0.1), (42.0, 0.1), (43.0, 29.0), (44.0, 5.5), (53.0, 2.2), (57.0, 7.2), (58.0, 7.9), (59.0, 0.5), (60.0, 1.4), (61.0, 0.1), (67.0, 3.6), (68.0, 0.1), (71.0, 2.4), (72.0, 100.0), (73.0, 66.7), (74.0, 9.0), (75.0, 4.6), (76.0, 0.4), (84.0, 2.5), (85.0, 0.1), (89.0, 3.0), (90.0, 0.2), (91.0, 0.1), (100.0, 10.9), (101.0, 0.6), (103.0, 2.0), (104.0, 0.1), (117.0, 11.8), (118.0, 1.4), (119.0, 0.5), (130.0, 3.4), (131.0, 0.3), (132.0, 0.1), (146.0, 14.7), (147.0, 3.5), (148.0, 0.8), (149.0, 0.1), (158.0, 2.0), (159.0, 2.2), (160.0, 0.3), (174.0, 5.9), (175.0, 0.7), (176.0, 0.2), (187.0, 1.9), (188.0, 8.1), (189.0, 50.1), (190.0, 7.4), (191.0, 2.2), (192.0, 0.2)]",3.5714285714285716
biological,"Methyl 3-hydroxybutyrate, TMS derivative",C8H18O3Si,O=C(OC)CC(O[Si](C)(C)C)C,,"InChI=1S/C8H18O3Si/c1-7(6-8(9)10-2)11-12(3,4)5/h7H,6H2,1-5H3",FHDCVPMIQWHEAE-UHFFFAOYSA-N,190.102520966,,,,MS1,,positive,"[(15.0, 41.0), (16.0, 0.4), (27.0, 4.0), (28.0, 0.1), (31.0, 0.5), (41.0, 4.1), (42.0, 12.1), (43.0, 0.4), (44.0, 3.8), (45.0, 0.1), (57.0, 3.9), (58.0, 15.8), (59.0, 30.2), (60.0, 1.4), (61.0, 0.2), (73.0, 24.6), (74.0, 35.7), (75.0, 7.2), (76.0, 1.7), (77.0, 0.1), (87.0, 3.6), (88.0, 0.1), (89.0, 14.1), (90.0, 1.5), (91.0, 0.5), (99.0, 3.6), (100.0, 7.8), (101.0, 30.2), (102.0, 10.0), (103.0, 5.1), (104.0, 0.6), (105.0, 0.1), (116.0, 25.9), (117.0, 56.3), (118.0, 6.8), (119.0, 2.2), (120.0, 0.1), (131.0, 67.4), (132.0, 11.6), (133.0, 14.3), (134.0, 1.5), (135.0, 0.5), (144.0, 3.7), (145.0, 4.1), (146.0, 11.7), (147.0, 1.5), (148.0, 0.4), (159.0, 3.6), (160.0, 4.1), (161.0, 0.6), (162.0, 0.1), (173.0, 3.6), (174.0, 33.6), (175.0, 100.0), (176.0, 13.8), (177.0, 4.9), (178.0, 0.3), (189.0, 7.2), (190.0, 59.3), (191.0, 8.4), (192.0, 2.8), (193.0, 0.2)]",3.5714285714285716
biological,"1-Butanol, TMS derivative",C7H18OSi,O(CCCC)[Si](C)(C)C,,"InChI=1S/C7H18OSi/c1-5-6-7-8-9(2,3)4/h5-7H2,1-4H3",YTJUXOIAXOQWBV-UHFFFAOYSA-N,146.11269172599998,,,,MS1,,positive,"[(15.0, 10.8), (16.0, 0.1), (27.0, 7.6), (28.0, 3.2), (29.0, 44.2), (30.0, 0.9), (39.0, 1.2), (41.0, 19.0), (42.0, 7.0), (43.0, 9.3), (44.0, 0.3), (45.0, 0.8), (54.0, 1.1), (55.0, 1.3), (56.0, 5.6), (57.0, 87.7), (58.0, 13.0), (59.0, 2.9), (60.0, 3.0), (61.0, 0.3), (70.0, 0.8), (72.0, 1.2), (73.0, 20.1), (74.0, 14.8), (75.0, 7.7), (76.0, 0.9), (77.0, 0.2), (88.0, 6.9), (89.0, 13.0), (90.0, 10.5), (91.0, 1.2), (92.0, 0.3), (101.0, 17.9), (102.0, 6.7), (103.0, 34.9), (104.0, 3.4), (105.0, 1.3), (115.0, 2.5), (116.0, 7.8), (117.0, 6.7), (118.0, 2.1), (119.0, 0.3), (129.0, 3.5), (130.0, 12.1), (131.0, 100.0), (132.0, 13.4), (133.0, 4.3), (134.0, 0.3), (144.0, 3.5), (145.0, 16.8), (146.0, 93.2), (147.0, 12.2), (148.0, 3.7), (149.0, 0.2)]",3.5714285714285716
biological,"2-(Diisopropylamino)ethanethiol, TMS derivative",C11H27NSSi,S(CCN(C(C)C)C(C)C)[Si](C)(C)C,,"InChI=1S/C11H27NSSi/c1-10(2)12(11(3)4)8-9-13-14(5,6)7/h10-11H,8-9H2,1-7H3",KVFVSSRNFPZZAU-UHFFFAOYSA-N,233.163347394,,,,MS1,,positive,"[(15.0, 4.7), (16.0, 0.1), (27.0, 9.0), (28.0, 2.0), (29.0, 7.5), (30.0, 0.4), (39.0, 0.2), (40.0, 0.2), (41.0, 5.3), (42.0, 10.6), (43.0, 100.0), (44.0, 3.3), (46.0, 0.3), (52.0, 0.2), (54.0, 1.0), (55.0, 2.4), (56.0, 4.7), (57.0, 2.5), (58.0, 5.5), (59.0, 1.7), (60.0, 2.1), (61.0, 1.3), (62.0, 0.1), (67.0, 0.2), (68.0, 1.2), (69.0, 2.8), (70.0, 8.6), (71.0, 1.9), (72.0, 2.4), (73.0, 4.5), (74.0, 12.9), (75.0, 7.0), (76.0, 1.8), (77.0, 0.5), (83.0, 0.7), (84.0, 4.6), (85.0, 7.4), (86.0, 1.7), (87.0, 1.4), (88.0, 9.4), (89.0, 25.2), (90.0, 2.6), (91.0, 7.0), (92.0, 0.8), (93.0, 0.3), (96.0, 0.2), (97.0, 0.4), (98.0, 0.2), (99.0, 1.3), (100.0, 3.1), (101.0, 1.0), (102.0, 0.2), (103.0, 0.7), (104.0, 3.0), (105.0, 4.3), (106.0, 1.2), (107.0, 0.4), (108.0, 0.1), (112.0, 0.1), (113.0, 0.4), (114.0, 0.3), (115.0, 0.6), (117.0, 0.4), (118.0, 0.5), (119.0, 1.0), (120.0, 0.2), (124.0, 0.3), (127.0, 1.0), (128.0, 3.2), (129.0, 0.2), (132.0, 0.4), (133.0, 0.2), (145.0, 0.3), (160.0, 0.1), (175.0, 1.0), (176.0, 0.1), (190.0, 0.6), (191.0, 0.3), (218.0, 1.0), (219.0, 0.1), (220.0, 0.1), (233.0, 38.0), (234.0, 6.9), (235.0, 3.6), (236.0, 0.5), (237.0, 0.1)]",3.5714285714285716
biological,"2-Buten-1-ol, (E)-, TMS derivative",C7H16OSi,O(CC=CC)[Si](C)(C)C,,"InChI=1S/C7H16OSi/c1-5-6-7-8-9(2,3)4/h5-6H,7H2,1-4H3/b6-5+",RQYBDDHHZHXTRM-AATRIKPKSA-N,144.097041662,,,,MS1,,positive,"[(15.0, 7.6), (27.0, 7.1), (28.0, 0.3), (29.0, 3.4), (39.0, 1.0), (40.0, 2.9), (41.0, 1.0), (43.0, 0.2), (53.0, 1.5), (54.0, 6.7), (55.0, 100.0), (56.0, 5.0), (57.0, 0.1), (58.0, 1.6), (59.0, 1.5), (60.0, 1.6), (61.0, 0.1), (73.0, 10.0), (74.0, 7.5), (75.0, 0.8), (76.0, 0.2), (85.0, 1.4), (86.0, 0.1), (87.0, 0.2), (89.0, 4.4), (90.0, 1.7), (91.0, 0.3), (101.0, 1.4), (102.0, 0.1), (103.0, 9.2), (104.0, 0.8), (105.0, 0.3), (114.0, 5.6), (115.0, 0.5), (116.0, 0.2), (127.0, 1.3), (128.0, 4.3), (129.0, 17.3), (130.0, 2.1), (131.0, 0.6), (143.0, 11.0), (144.0, 26.2), (145.0, 3.6), (146.0, 1.0), (147.0, 0.1)]",3.5714285714285716
biological,"Pyrimethanil, TMS derivative",C15H21N3Si,N=1C(=NC(=CC1C)C)N(C=2C=CC=CC2)[Si](C)(C)C,,"InChI=1S/C15H21N3Si/c1-12-11-13(2)17-15(16-12)18(19(3,4)5)14-9-7-6-8-10-14/h6-11H,1-5H3",HDMYKQQUKFPRLE-UHFFFAOYSA-N,271.150474202,,,,MS1,,positive,"[(15.0, 1.9), (27.0, 11.4), (28.0, 6.4), (29.0, 1.4), (30.0, 0.1), (31.0, 0.7), (38.0, 0.9), (39.0, 7.1), (40.0, 6.2), (41.0, 16.8), (42.0, 10.8), (43.0, 28.9), (44.0, 9.2), (45.0, 3.2), (46.0, 2.9), (47.0, 0.2), (50.0, 1.4), (51.0, 5.6), (52.0, 6.7), (53.0, 3.7), (54.0, 5.9), (55.0, 4.8), (56.0, 8.7), (57.0, 34.3), (58.0, 44.6), (59.0, 12.3), (60.0, 2.1), (61.0, 0.3), (63.0, 0.9), (64.0, 3.2), (65.0, 12.6), (66.0, 6.9), (67.0, 21.4), (68.0, 5.3), (69.0, 5.3), (70.0, 4.2), (71.0, 3.6), (72.0, 10.9), (73.0, 31.3), (74.0, 2.9), (75.0, 3.4), (76.0, 7.3), (77.0, 46.1), (78.0, 9.1), (79.0, 6.3), (80.0, 5.7), (81.0, 4.9), (82.0, 8.8), (83.0, 9.0), (84.0, 8.6), (85.0, 2.9), (86.0, 0.4), (87.0, 1.0), (89.0, 0.2), (90.0, 3.8), (91.0, 9.6), (92.0, 4.5), (93.0, 3.5), (94.0, 5.1), (95.0, 2.5), (96.0, 0.6), (97.0, 4.5), (98.0, 1.0), (99.0, 1.5), (100.0, 0.2), (101.0, 0.5), (102.0, 2.0), (103.0, 3.0), (104.0, 3.2), (105.0, 3.1), (106.0, 1.9), (107.0, 8.8), (108.0, 4.9), (109.0, 4.8), (110.0, 1.9), (111.0, 0.3), (112.0, 1.7), (113.0, 1.1), (114.0, 0.1), (115.0, 3.2), (116.0, 2.2), (117.0, 12.2), (118.0, 6.4), (119.0, 6.0), (120.0, 3.5), (121.0, 2.6), (122.0, 5.0), (123.0, 4.9), (124.0, 2.4), (125.0, 1.3), (126.0, 0.1), (130.0, 0.4), (131.0, 0.8), (132.0, 2.8), (133.0, 3.8), (134.0, 9.8), (135.0, 4.6), (136.0, 0.7), (137.0, 1.0), (138.0, 5.5), (139.0, 1.8), (140.0, 0.3), (141.0, 0.6), (142.0, 3.4), (143.0, 2.0), (144.0, 1.4), (145.0, 2.7), (146.0, 2.3), (147.0, 1.1), (148.0, 5.4), (149.0, 3.7), (150.0, 2.4), (151.0, 2.1), (152.0, 0.3), (153.0, 0.3), (156.0, 1.8), (157.0, 2.9), (158.0, 0.5), (159.0, 3.5), (160.0, 3.1), (161.0, 0.5), (162.0, 0.1), (163.0, 1.0), (164.0, 8.0), (165.0, 3.1), (166.0, 0.6), (167.0, 0.1), (170.0, 0.4), (171.0, 0.7), (172.0, 0.8), (173.0, 0.2), (174.0, 1.6), (175.0, 2.8), (176.0, 0.4), (177.0, 1.0), (178.0, 2.3), (179.0, 3.6), (180.0, 0.5), (181.0, 0.1), (182.0, 1.3), (183.0, 4.8), (184.0, 2.8), (185.0, 2.0), (186.0, 2.8), (187.0, 1.3), (188.0, 0.2), (189.0, 0.6), (190.0, 0.9), (191.0, 0.1), (193.0, 0.8), (194.0, 0.2), (196.0, 0.9), (197.0, 2.9), (198.0, 9.7), (199.0, 4.5), (200.0, 2.4), (201.0, 0.3), (202.0, 0.9), (203.0, 0.1), (210.0, 1.7), (211.0, 3.7), (212.0, 1.6), (213.0, 1.1), (214.0, 0.1), (215.0, 4.2), (216.0, 1.6), (217.0, 0.3), (224.0, 1.6), (225.0, 2.0), (226.0, 15.5), (227.0, 4.7), (228.0, 1.1), (229.0, 0.1), (239.0, 1.6), (240.0, 5.3), (241.0, 13.6), (242.0, 4.5), (243.0, 1.0), (244.0, 0.1), (254.0, 1.6), (255.0, 6.9), (256.0, 100.0), (257.0, 21.9), (258.0, 5.3), (259.0, 0.6), (270.0, 0.8), (271.0, 91.5), (272.0, 21.3), (273.0, 5.1), (274.0, 0.6)]",3.5714285714285716
biological,"6-Phenoxy-1-hexanol, TMS derivative",C15H26O2Si,O(C=1C=CC=CC1)CCCCCCO[Si](C)(C)C,,"InChI=1S/C15H26O2Si/c1-18(2,3)17-14-10-5-4-9-13-16-15-11-7-6-8-12-15/h6-8,11-12H,4-5,9-10,13-14H2,1-3H3",CZLYFHLYEDDMMP-UHFFFAOYSA-N,266.170206602,,,,MS1,,positive,"[(15.0, 11.2), (16.0, 0.1), (26.0, 0.7), (27.0, 27.1), (28.0, 17.6), (29.0, 28.3), (30.0, 0.6), (31.0, 1.7), (39.0, 2.3), (40.0, 6.3), (41.0, 33.4), (42.0, 14.6), (43.0, 14.6), (44.0, 8.3), (45.0, 1.6), (46.0, 0.3), (51.0, 1.6), (52.0, 3.4), (53.0, 2.9), (54.0, 6.2), (55.0, 23.4), (56.0, 15.0), (57.0, 22.5), (58.0, 29.9), (59.0, 2.9), (60.0, 7.2), (61.0, 3.3), (62.0, 0.1), (63.0, 0.1), (64.0, 1.5), (65.0, 7.5), (66.0, 1.7), (67.0, 5.1), (68.0, 1.4), (69.0, 4.1), (70.0, 3.6), (71.0, 0.2), (72.0, 12.4), (73.0, 24.8), (74.0, 15.6), (75.0, 3.6), (76.0, 1.8), (77.0, 49.2), (78.0, 4.2), (79.0, 0.3), (81.0, 0.4), (83.0, 5.4), (84.0, 8.6), (85.0, 5.0), (86.0, 4.7), (87.0, 11.4), (88.0, 5.0), (89.0, 3.2), (90.0, 2.2), (91.0, 1.6), (92.0, 2.0), (93.0, 41.7), (94.0, 4.4), (95.0, 1.3), (99.0, 2.7), (100.0, 4.4), (101.0, 5.4), (102.0, 4.8), (103.0, 2.5), (104.0, 0.4), (105.0, 0.9), (106.0, 1.3), (107.0, 28.6), (108.0, 3.1), (109.0, 0.2), (113.0, 1.8), (114.0, 1.6), (115.0, 4.6), (116.0, 2.4), (117.0, 2.1), (118.0, 0.2), (120.0, 5.4), (121.0, 12.2), (122.0, 1.7), (123.0, 0.1), (126.0, 0.6), (127.0, 0.7), (128.0, 0.4), (129.0, 0.7), (130.0, 1.4), (131.0, 0.8), (132.0, 0.3), (133.0, 0.7), (134.0, 1.5), (135.0, 5.3), (136.0, 1.6), (137.0, 1.4), (138.0, 0.1), (142.0, 0.6), (143.0, 0.8), (144.0, 1.0), (145.0, 0.1), (146.0, 0.1), (147.0, 0.7), (148.0, 1.2), (149.0, 6.4), (150.0, 1.8), (151.0, 0.1), (152.0, 1.3), (153.0, 0.1), (157.0, 2.7), (158.0, 0.3), (159.0, 0.9), (160.0, 0.1), (162.0, 2.0), (163.0, 2.5), (164.0, 0.3), (165.0, 0.6), (166.0, 0.1), (167.0, 0.6), (168.0, 0.4), (173.0, 2.0), (174.0, 0.2), (176.0, 2.1), (177.0, 20.6), (178.0, 2.7), (179.0, 0.2), (193.0, 0.6), (194.0, 0.7), (195.0, 0.1), (221.0, 1.2), (222.0, 0.2), (235.0, 1.2), (236.0, 4.6), (237.0, 0.9), (238.0, 0.2), (250.0, 4.9), (251.0, 18.3), (252.0, 3.8), (253.0, 0.9), (254.0, 0.1), (265.0, 0.6), (266.0, 100.0), (267.0, 21.6), (268.0, 6.3), (269.0, 0.9), (270.0, 0.2)]",3.5714285714285716
biological,"Cyclamic acid, TMS derivative",C9H21NO3SSi,O=S(=O)(O[Si](C)(C)C)NC1CCCCC1,,"InChI=1S/C9H21NO3SSi/c1-15(2,3)13-14(11,12)10-9-7-5-4-6-8-9/h9-10H,4-8H2,1-3H3",PCMCOJVLVHLVIE-UHFFFAOYSA-N,251.10114106199998,,,,MS1,,positive,"[(15.0, 5.0), (27.0, 8.0), (28.0, 13.4), (29.0, 10.9), (30.0, 5.9), (39.0, 0.9), (40.0, 0.2), (41.0, 13.1), (42.0, 12.9), (43.0, 5.3), (44.0, 0.9), (48.0, 0.1), (53.0, 0.3), (54.0, 2.5), (55.0, 15.2), (56.0, 16.7), (57.0, 6.1), (58.0, 3.8), (59.0, 0.2), (60.0, 1.0), (62.0, 0.3), (64.0, 5.0), (65.0, 0.3), (66.0, 0.6), (67.0, 0.4), (68.0, 1.4), (69.0, 3.7), (70.0, 14.7), (71.0, 1.1), (73.0, 2.0), (74.0, 14.4), (75.0, 1.4), (76.0, 0.5), (80.0, 0.1), (81.0, 8.0), (82.0, 1.9), (83.0, 3.6), (84.0, 0.2), (85.0, 0.3), (87.0, 0.3), (88.0, 0.3), (89.0, 3.9), (90.0, 1.0), (91.0, 0.2), (94.0, 0.3), (95.0, 0.4), (96.0, 1.9), (97.0, 20.5), (98.0, 100.0), (99.0, 6.9), (100.0, 0.2), (106.0, 0.2), (107.0, 0.2), (108.0, 0.3), (112.0, 0.6), (122.0, 2.2), (123.0, 0.8), (124.0, 0.2), (136.0, 0.3), (137.0, 1.4), (138.0, 0.3), (139.0, 0.1), (146.0, 1.4), (147.0, 0.1), (153.0, 0.5), (154.0, 0.7), (162.0, 6.1), (163.0, 0.4), (164.0, 0.3), (166.0, 0.1), (206.0, 0.3), (221.0, 1.6), (222.0, 0.2), (223.0, 0.1), (236.0, 0.3), (251.0, 17.3), (252.0, 2.8), (253.0, 1.6), (254.0, 0.2)]",3.5714285714285716
